"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Авторизация курьера","5","0","POST /courier/login","0"
"0","","0","Принятие заказа","5","0","PUT /orders/accept/:id","0"
"0","","0","Создание курьера","4","0","POST /courier","0"
"0","","0","Удаление курьера","3","0","DELETE /courier/{id}","0"
"0","","0","Получение заказов","1","0","GET /orders","0"
"0","","0","Получение заказа по его номеру","3","0","GET /orders/track","0"
"0","","0","Создание заказа","4","0","POST /orders","0"
